ground_name_howstat,ground_id_howstat,ground_id_espn,ground_name_espn,City
Arun Jaitley Stadium,22,58040,"Arun Jaitley Stadium, Delhi",Delhi
Barabati Stadium,3,58027,"Barabati Stadium, Cuttack", Cuttack
Barsapara Cricket Stadium,240,680295,"Barsapara Cricket Stadium, Guwahati", Guwahati
Brabourne Stadium,7,58317,"Brabourne Stadium, Mumbai", Mumbai
BRSABV Ekana Cricket Stadium,294,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow
Buffalo Park,107,59098,"Buffalo Park, East London", East London
Diamond Oval,130,59135,"Diamond Oval, Kimberley", Kimberley
Dr DY Patil Sports Academy,211,343050,"Dr DY Patil Sports Academy, Navi Mumbai", Navi Mumbai
Dr YS Rajasekhara Reddy Cricket Stadium,185,58547,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam", Visakhapatnam
Dubai International Cricket Stadium,209,392627,"Dubai International Cricket Stadium, Dubai", Dubai
Eden Gardens,17,57980,"Eden Gardens, Kolkata", Kolkata
Green Park,23,58204,"Green Park, Kanpur", Kanpur
Himachal Pradesh Cricket Association Stadium,224,58056,"Himachal Pradesh Cricket Association Stadium, Dharamsala", Dharamsala
Holkar Cricket Stadium,191,58150,"Holkar Cricket Stadium, Indore", Indore
JSCA International Stadium Complex,223,485865,"JSCA International Stadium Complex, Ranchi", Ranchi
Kingsmead,34,59089,"Kingsmead, Durban", Durban
M Chinnaswamy Stadium,31,57897,"M.Chinnaswamy Stadium, Bengaluru", Bengaluru
MA Chidambaram Stadium,12,58008,"MA Chidambaram Stadium, Chepauk, Chennai"," Chepauk, Chennai"
Maharaja Yadavindra Singh International Cricket St,329,1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur", Mullanpur
Maharashtra Cricket Association Stadium,221,545380,"Maharashtra Cricket Association Stadium, Pune", Pune
Mangaung Oval,80,59042,"Mangaung Oval, Bloemfontein", Bloemfontein
Narendra Modi Stadium,24,57851,"Narendra Modi Stadium, Motera, Ahmedabad"," Motera, Ahmedabad"
Nehru Stadium (Kochi),127,58230,"Nehru Stadium, Kochi", Kochi
Newlands,45,59068,"Newlands, Cape Town", Cape Town
Punjab Cricket Association IS Bindra Stadium,74,57991,"I.S. Bindra Punjab Cricket Association Stadium, Mohali", Mohali
Rajiv Gandhi International Stadium,186,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"," Uppal, Hyderabad"
Saurashtra Cricket Association Stadium,222,377285,"Niranjan Shah Stadium, Rajkot", Rajkot
Sawai Mansingh Stadium,54,58162,"Sawai Mansingh Stadium, Jaipur", Jaipur
Shaheed Veer Narayan Sing International Stadium,234,601879,"Shaheed Veer Narayan Singh International Stadium, Raipur", Raipur
Sharjah Cricket Stadium,156,59392,"Sharjah Cricket Stadium, Sharjah", Sharjah
Sheikh Zayed Stadium,192,59396,"Zayed Cricket Stadium, Abu Dhabi", Abu Dhabi
St George's Park,57,59159,"St George's Park, Gqeberha", Gqeberha
SuperSport Park,75,59079,"SuperSport Park, Centurion", Centurion
Vidarbha Cricket Association Stadium,208,375326,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur"," Jamtha, Nagpur"
Wanderers Stadium,66,59120,"The Wanderers Stadium, Johannesburg", Johannesburg
Wankhede Stadium,67,58324,"Wankhede Stadium, Mumbai", Mumbai
