batter_id,bowler_id,total_runs_scored,total_balls_faced,total_encounters,dot_balls,boundary_count,total_dismissals,strike_rate,batting_average,bowling_strike_rate
253802,26421,181,148,23,43,19,1,122.3,181.0,148.0
34102,230558,143,133,21,53,18,8,107.52,17.88,16.62
253802,234675,179,158,21,49,15,3,113.29,59.67,52.67
34102,26421,119,127,21,50,9,3,93.7,39.67,42.33
425943,326016,120,91,19,37,16,4,131.87,30.0,22.75
34102,32966,146,115,19,40,18,2,126.96,73.0,57.5
33335,29264,132,120,19,37,10,5,110.0,26.4,24.0
44828,326016,109,79,18,34,16,1,137.97,109.0,79.0
253802,438362,132,89,18,26,19,7,148.31,18.86,12.71
34102,234675,97,91,18,26,7,3,106.59,32.33,30.33
277916,326016,104,114,18,64,16,7,91.23,14.86,16.29
34102,31107,87,91,17,31,5,7,95.6,12.43,13.0
253802,230558,136,128,17,44,12,4,106.25,34.0,32.0
325026,230558,67,68,17,28,6,4,98.53,16.75,17.0
28081,230558,40,73,17,37,1,2,54.79,20.0,36.5
253802,625383,155,101,17,35,22,5,153.47,31.0,20.2
44936,234675,111,89,17,29,13,2,124.72,55.5,44.5
34102,376116,170,115,17,51,29,5,147.83,34.0,23.0
34102,326016,94,69,16,29,14,1,136.23,94.0,69.0
30045,26421,76,57,16,15,9,1,133.33,76.0,57.0
253802,326016,129,91,16,40,23,4,141.76,32.25,22.75
33141,26421,90,81,16,26,8,5,111.11,18.0,16.2
33335,32966,175,101,16,29,25,4,173.27,43.75,25.25
28081,430246,108,81,16,28,11,4,133.33,27.0,20.25
28081,625383,62,64,16,27,5,4,96.88,15.5,16.0
28235,376116,103,88,16,36,16,2,117.05,51.5,44.0
28235,230558,105,88,16,34,11,2,119.32,52.5,44.0
219889,230558,195,118,16,40,29,2,165.25,97.5,59.0
34102,51439,82,71,15,27,11,5,115.49,16.4,14.2
35582,26421,123,92,15,27,14,6,133.7,20.5,15.33
253802,31107,162,104,15,27,21,3,155.77,54.0,34.67
30045,234675,105,70,15,26,16,3,150.0,35.0,23.33
28235,29264,147,119,15,49,21,3,123.53,49.0,39.67
44828,277912,114,98,15,47,19,4,116.33,28.5,24.5
35582,326016,86,79,15,38,11,1,108.86,86.0,79.0
425943,793463,121,104,15,30,10,1,116.35,121.0,104.0
554691,625383,53,51,15,19,5,4,103.92,13.25,12.75
446507,26421,128,89,15,19,14,0,143.82,128.0,0.0
28081,49758,89,62,15,19,10,2,143.55,44.5,31.0
253802,32966,140,105,15,32,15,3,133.33,46.67,35.0
625371,430246,71,73,15,24,5,4,97.26,17.75,18.25
33141,31107,100,83,15,22,8,3,120.48,33.33,27.67
33335,32498,70,62,14,21,8,3,112.9,23.33,20.67
422108,438362,103,92,14,33,11,1,111.96,103.0,92.0
28235,277955,127,89,14,39,22,1,142.7,127.0,89.0
51880,326016,131,88,14,42,21,1,148.86,131.0,88.0
28763,326016,84,68,14,22,11,0,123.53,84.0,0.0
931581,430246,92,64,14,23,12,3,143.75,30.67,21.33
230559,51439,136,87,14,33,20,3,156.32,45.33,29.0
44936,29264,110,78,14,25,14,3,141.03,36.67,26.0
253802,376116,168,95,14,25,26,3,176.84,56.0,31.67
33335,31107,122,88,14,17,11,4,138.64,30.5,22.0
321777,26421,82,73,14,22,7,2,112.33,41.0,36.5
277916,376116,108,73,14,25,16,2,147.95,54.0,36.5
931581,625383,55,45,14,20,7,7,122.22,7.86,6.43
219889,26421,122,110,14,34,11,3,110.91,40.67,36.67
