Player_ID,Player,Full_Name,Born,Current_Age,Bats,Bowls,Matches,Died
3916,V R Aaron,Varun R Aaron,"29th October, 1989",35 years 214 days,Right Handed,Right Arm Fast,52 (2011-2022),
4002,K J Abbott,Kyle J Abbott,"18th June, 1987",37 years 347 days,Right Handed,Right Arm Fast Medium,5 (2016-2016),
4331,S A Abbott,Sean A Abbott,"29th February, 1992",33 years 92 days,Right Handed,Right Arm Fast Medium,3 (2015-2022),
5863,Abdul Samad,Abdul Samad Farooq,"28th October, 2001",23 years 215 days,Right Handed,Right Arm Leg Break,63 (2020-),
3694,Y A Abdulla,Yusuf A Abdulla,"17th January, 1983",42 years 134 days,Left Handed,Left Arm Fast Medium,11 (2009-2010),
3180,Abdur Razzak,Abdur Razzak,"15th June, 1982",42 years 350 days,Right Handed,Left Arm Orthodox,1 (2008-2008),
4756,Abhishek Sharma,Abhishek Sharma,"4th September, 2000",24 years 269 days,Left Handed,Left Arm Orthodox,77 (2018-),
4191,L Ablish,Love Ablish,"3rd December, 1982",42 years 179 days,Right Handed,Right Arm Fast Medium,3 (2010-2011),
2159,A B Agarkar,Ajit Bhalchandra Agarkar,"4th December, 1977",47 years 178 days,Right Handed,Right Arm Fast Medium,42 (2008-2013),
4104,M A Agarwal,Mayank Anurag Agarwal,"16th February, 1991",34 years 104 days,Right Handed,,130 (2011-),
4658,S Agarwal,Shubham Agarwal,"21st November, 1993",31 years 191 days,Right Handed,Right Arm Leg Break,1 (2017-2017),
4059,A N  Ahmed,Abu N Ahmed,"5th November, 1988",36 years 207 days,Right Handed,Right Arm Medium,17 (2010-2015),
4539,K K Ahmed,Khaleel Khursheed Ahmed,"5th December, 1997",27 years 177 days,Right Handed,Left Arm Medium,71 (2018-),
6533,Akash Deep,Akash Deep,"15th December, 1996",28 years 167 days,Right Handed,Right Arm Medium,14 (2022-),
5859,Akash Singh,Akash Maharaj Singh,"26th April, 2002",23 years 35 days,Right Handed,Left Arm Medium Fast,10 (2021-),
4131,B  Akhil,Balachandra Akhil,"7th October, 1977",47 years 236 days,Right Handed,,15 (2008-2011),
4826,F A Allen,Fabian Anthony Allen,"7th May, 1995",30 years 24 days,Right Handed,Left Arm Orthodox,5 (2021-2022),
6512,Aman Hakim Khan,Aman Hakim Khan,"23rd November, 1996",28 years 189 days,Right Handed,Right Arm Medium,12 (2022-2023),
4138,P Amarnath,Palani Amarnath,"1st June, 1982",42 years 364 days,Right Handed,Right Arm Medium,6 (2008-2008),
3236,H M Amla,Hashim Mahomed Amla,"31st March, 1983",42 years 61 days,Right Handed,Right Arm Medium,16 (2016-2017),
4205,Anand Rajan,Anand Rajan,"17th April, 1987",38 years 44 days,Right Handed,Right Arm Medium,9 (2011-2013),
3983,C J Anderson,Corey James Anderson,"13th December, 1990",34 years 169 days,Left Handed,Left Arm Medium Fast,30 (2014-2018),
7757,Angkrish Raghuvanshi,Angkrish Raghuvanshi,"5th June, 2005",19 years 360 days,Right Handed,Left Arm Orthodox,22 (2024-),
4134,Anirudh Singh,Anirudh Singh,"2nd August, 1980",44 years 302 days,Left Handed,Right Arm Medium,5 (2010-2010),
4136,S  Anirudha,Srikkanth Anirudha,"14th April, 1987",38 years 47 days,Right Handed,,20 (2008-2014),
4106,Ankit Sharma,Ankit Nagendra Sharma,"20th April, 1991",34 years 41 days,Left Handed,Left Arm Orthodox,21 (2012-2018),
5019,Ankit Soni,Ankit Soni,"2nd August, 1993",31 years 302 days,Right Handed,Right Arm Leg Break,7 (2017-2017),
4940,Anmolpreet Singh,Anmolpreet Singh,"28th February, 1998",27 years 92 days,Right Handed,Right Arm Off Break,9 (2021-),
8291,Z Ansari,Zeeshan Ansari,"16th December, 1999",25 years 166 days,,,10 (2025-),
7760,Anshul Kamboj,Anshul Kamboj,"6th December, 2000",24 years 176 days,Right Handed,Right Arm Medium,11 (2024-),
5858,Anuj Rawat,Anuj Rawat,"17th October, 1999",25 years 226 days,Left Handed,,24 (2021-),
4155,Anureet Singh,Kathuria Anureet Singh,"2nd March, 1988",37 years 90 days,Right Handed,Right Arm Medium,23 (2009-2018),
4119,K P  Appanna,Kotarangada P Appanna,"20th December, 1988",36 years 162 days,Right Handed,Left Arm Orthodox,14 (2009-2012),
4120,S Aravind,Sreenath Aravind,"8th April, 1984",41 years 53 days,Left Handed,Left Arm Fast Medium,38 (2011-2017),
4777,J C Archer,Jofra Chioke Archer,"1st April, 1995",30 years 60 days,Right Handed,Right Arm Fast,52 (2018-),
5970,V G Arora,Vaibhav Gopal Arora,"14th December, 1997",27 years 168 days,Right Handed,Right Arm Fast Medium,32 (2022-),
6521,Arshad Khan,Mohd Arshad Khan,"20th December, 1997",27 years 162 days,Left Handed,Left Arm Medium,19 (2023-),
4933,Arshdeep Singh,Arshdeep Singh,"5th February, 1999",26 years 115 days,Left Handed,Right Arm Medium Fast,80 (2019-),
7759,Arshin Kulkarni,Arshin Atul Kulkarni,"15th February, 2005",20 years 105 days,Right Handed,Right Arm Medium,2 (2024-),
4121,K B A Arun Karthik,Konda Bhaskir Arun Karthik,"15th February, 1986",39 years 105 days,Right Handed,Right Arm Leg Break,17 (2010-2013),
4170,J  Arunkumar,Jagadeesh Arunkumar,"18th January, 1975",50 years 133 days,Right Handed,Right Arm Off Break,3 (2008-2008),
8307,P Arya,Priyansh Arya,"18th September, 2001",23 years 255 days,,,15 (2025-),
4107,A Ashish Reddy,Ammana Ashish Reddy,"24th February, 1991",34 years 96 days,Right Handed,Right Arm Medium,31 (2012-2016),
7764,Ashutosh Sharma,Ashutosh Rambabu Sharma,"15th September, 1998",26 years 258 days,Right Handed,,24 (2024-),
4556,M Ashwin,Murugan Ashwin,"8th September, 1990",34 years 265 days,Right Handed,Left Arm Chinaman (Googly),44 (2016-2023),
3788,R Ashwin,Ravichandran Ashwin,"17th September, 1986",38 years 256 days,Right Handed,Right Arm Off Break,221 (2009-),
4749,K M Asif,K M Asif,"24th July, 1993",31 years 311 days,Right Handed,Right Arm Medium,7 (2018-2023),
4146,S A  Asnodkar,Swapnil A Asnodkar,"29th April, 1984",41 years 32 days,Right Handed,Right Arm Off Break,20 (2008-2011),
4673,Avesh Khan,Avesh Khan,"13th December, 1996",28 years 169 days,Right Handed,Right Arm Medium,76 (2017-),
3982,P Awana,Parvinder Awana,"19th July, 1986",38 years 316 days,Right Handed,Right Arm Medium,33 (2012-2014),
8352,Ayush Mhatre,Ayush Mhatre,"16th July, 2007",17 years 319 days,Right Handed,Right Arm Off Break,7 (2025-),
2113,Azhar Mahmood,Azhar Mahmood,"28th February, 1975",50 years 92 days,Right Handed,Right Arm Fast Medium,23 (2012-2015),
5936,Azmatullah Omarzai,Azmatullah Omarzai,"24th March, 2000",25 years 68 days,Right Handed,Right Arm Medium Fast,14 (2024-),
6538,A Badoni,Ayush Badoni,"3rd December, 1999",25 years 179 days,Right Handed,Right Arm Off Break,56 (2022-),
3959,S Badree,Samuel Badree,"9th March, 1981",44 years 83 days,Right Handed,Right Arm Leg Break,12 (2013-2017),
3608,S Badrinath,Subramaniam Badrinath,"30th August, 1980",44 years 274 days,Right Handed,Right Arm Off Break,95 (2008-2013),
3929,G J Bailey,George John Bailey,"7th September, 1982",42 years 266 days,Right Handed,Right Arm Medium,40 (2009-2016),
3900,J M Bairstow,Jonathan M Bairstow,"26th September, 1989",35 years 247 days,Right Handed,Right Arm Medium,50 (2019-),
3057,L Balaji,Lakshmipathy Balaji,"27th September, 1981",43 years 246 days,Right Handed,Right Arm Medium Fast,73 (2008-2014),
2999,S B Bangar,Sanjay B Bangar,"11th October, 1972",52 years 232 days,Right Handed,Right Arm Medium Fast,12 (2008-2009),
5660,T Banton,Tom Banton,"11th November, 1998",26 years 201 days,Right Handed,,2 (2020-2020),
3739,A B Barath,Adrian B Barath,"14th April, 1990",35 years 47 days,Right Handed,Right Arm Off Break,3 (2010-2010),
4663,T Baroka,Tejas Baroka,"1st February, 1996",29 years 119 days,Right Handed,Right Arm Leg Break,1 (2017-2017),
7663,X C Bartlett,Xavier Colin Bartlett,"17th December, 1998",26 years 165 days,Right Handed,Right Arm Fast Medium,4 (2025-),
4659,Basil Thampi,Basil Thampi,"11th September, 1993",31 years 262 days,Right Handed,Right Arm Medium,25 (2017-2022),
7217,P A Basith,Pappanayil Abdul Basith,"9th October, 1998",26 years 234 days,Right Handed,Right Arm Off Break,1 (2023-2023),
6528,R A Bawa,Raj Angad Bawa,"12th November, 2002",22 years 200 days,Left Handed,Right Arm Medium Fast,3 (2022-),
4655,A R Bawne,Ankit Ramdas Bawne,"17th December, 1992",32 years 165 days,Right Handed,Right Arm Off Break,1 (2017-2017),
3951,F Behardien,Farhaan Behardien,"9th October, 1983",41 years 234 days,Right Handed,Right Arm Fast Medium,3 (2016-2016),
4705,J P Behrendorff,Jason Paul Behrendorff,"20th April, 1990",35 years 41 days,Right Handed,Left Arm Fast Medium,17 (2019-2023),
8031,J G Bethell,Jacob Graham Bethell,"23rd October, 2003",21 years 220 days,Left Handed,Left Arm Orthodox,2 (2025-),
7219,M Bhandage,Manoj Bhandage,"5th October, 1998",26 years 238 days,,,1 (2025-),
4384,K S Bharat,Kona Srikar Bharat,"3rd October, 1993",31 years 240 days,Right Handed,,10 (2021-2022),
4054,R Bhatia,Rajat Bhatia,"22nd October, 1986",38 years 221 days,Right Handed,,95 (2008-2017),
4211,R R  Bhatkal,Raju R Bhatkal,"1st September, 1985",39 years 272 days,Right Handed,Right Arm Medium,1 (2012-2012),
4040,B A  Bhatt,Bhargav A Bhatt,"13th May, 1990",35 years 18 days,Left Handed,Left Arm Orthodox,17 (2011-2013),
4409,R K Bhui,Ricky Kannakumar Bhui,"29th September, 1996",28 years 244 days,Right Handed,Right Arm Leg Break,4 (2018-),
4159,A A  Bilakhia,Azharuddin A Bilakhia,"31st May, 1986",39 years 0 days,Right Handed,Right Arm Medium,7 (2009-2010),
4428,S W Billings,Samuel William Billings,"15th June, 1991",33 years 350 days,Right Handed,,30 (2016-2022),
