player_id,player_name,link,player_google_links,player_wikipedia_link,preferenced_player_name,full name,batting,bowling,,,nationality,role
25913, Mohammad Nabi       , Mohammad Nabi Profile                                               , https://www.google.com/search?q=site:wikipedia.org+Mohammad Nabi+cricket+Player       , https://en.wikipedia.org/wiki/Mohammad_Nabi                         , Mohammad Nabi          , Mohammad Nabi Eisakhil                             , Right-handed, Right-arm off spin                        ,,, Afghanistan (2009–present),All-rounder
28235, S Dhawan            , https://www.espncricinfo.com/cricketers/s-dhawan-28235              , https://www.google.com/search?q=site:wikipedia.org+S Dhawan+cricket+Player            , https://en.wikipedia.org/wiki/Shikhar_Dhawan                        , Shikhar Dhawan         ,                                                    , Left-handed , Right-arm off break                       ,,, India (2010–2022),Top-order
30045, KD Karthik          , https://www.espncricinfo.com/cricketers/kd-karthik-30045            , https://www.google.com/search?q=site:wikipedia.org+KD Karthik+cricket+Player          , https://en.wikipedia.org/wiki/Dinesh_Karthik                        , Dinesh Karthik         , Krishnakumar Dinesh Karthik                        , Right-handed, Right-arm off break                       ,,, India (2004–2022),Wicketkeeper-batsman
31107, A Mishra            , https://www.espncricinfo.com/cricketers/a-mishra-31107              , https://www.google.com/search?q=site:wikipedia.org+A Mishra+cricket+Player            , https://en.wikipedia.org/wiki/Amit_Mishra                           , Amit Mishra            ,                                                    , Right-handed, Right-arm leg break                       ,,, India (2003–2017),Bowler
32966, PP Chawla           , https://www.espncricinfo.com/cricketers/pp-chawla-32966             , https://www.google.com/search?q=site:wikipedia.org+PP Chawla+cricket+Player           , https://en.wikipedia.org/wiki/Piyush_Chawla                         , Piyush Chawla          ,                                                    , Left-handed , Right-arm leg break                       ,,, India (2006–2012),All-rounder
219889, DA Warner           , https://www.espncricinfo.com/cricketers/da-warner-219889            , https://www.google.com/search?q=site:wikipedia.org+DA Warner+cricket+Player           , https://en.wikipedia.org/wiki/David_Warner_(cricketer)              , David Warner           , David Andrew Warner                                , Left-handed , Right arm leg break                       ,,, Australia (2009–2024),Top-order
230193, MS Wade             , https://www.espncricinfo.com/cricketers/ms-wade-230193              , https://www.google.com/search?q=site:wikipedia.org+MS Wade+cricket+Player             , https://en.wikipedia.org/wiki/Matthew_Wade                          , Matthew Wade           , Matthew Scott Wade                                 , Left-handed , Right-arm medium                          ,,, Australia (2011–2024),Wicketkeeper-batsman
232292, Swapnil Singh       , Swapnil Singh Profile                                               , https://www.google.com/search?q=site:wikipedia.org+Swapnil Singh+cricket+Player       , https://en.wikipedia.org/wiki/Swapnil_Singh                         , Swapnil Singh          ,                                                    , Right-handed, Slow left-arm orthodox                    ,,, ,Bowler
267724, KA Maharaj          , https://www.espncricinfo.com/cricketers/ka-maharaj-267724           , https://www.google.com/search?q=site:wikipedia.org+KA Maharaj+cricket+Player          , https://en.wikipedia.org/wiki/Keshav_Maharaj                        , Keshav Maharaj         , Keshav Athmanand Maharaj                           , Right-handed, Slow left-arm orthodox                    ,,, South Africa (2016–present),Bowler
277906, KS Williamson       , https://www.espncricinfo.com/cricketers/ks-williamson-277906        , https://www.google.com/search?q=site:wikipedia.org+KS Williamson+cricket+Player       , https://en.wikipedia.org/wiki/Kane_Williamson                       , Kane Williamson        , Kane Stuart Williamson                             , Right-handed, Right-arm off-break                       ,,, New Zealand (2010–present),Top-order
