player_id,matches_played,innings_batting,not_outs,runs_batting,highest_score,average_batting,balls_faced,strike_rate_batting,hundreds,fifties,zeroes,fours,sixes,start_year,last_year,out,last_played_year,innings_bowling,overs_bowled,maidens,runs_conceded,wickets_taken,best_bowling_inning,average_bowling,economy_rate,strike_rate_bowling,four_wickets,five_wickets,innings_fielding,dismissals,catches,stumpings,catches_wicketkeeper,catches_fielder,max_dismissals,dismissals_per_innings,max_dismissals_ct,max_dismissals_st
4292,5,5,0,75,27,15.0,58,129.31,0,0,0,9,2,2011,2011,True,,,,,,,,,,,,,5,0,0,0,0,0,0,0.0,0,0
4451,40,37,10,663,61,24.55,544,121.87,0,2,1,59,19,2009,2016,False,,,,,,,,,,,,,40,11,11,0,0,11,1,0.275,1,0
4498,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2,2011,2012,True,,,,,,,,,,,,,7,4,4,0,0,4,3,0.571,3,0
4508,27,4,3,21,16,21.0,23,91.3,0,0,0,1,1,2010,2012,False,,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,27,8,8,0,0,8,1,0.296,1,0
4541,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0,2009,2009,True,,1,1.0,0,6,1,1/6,6.0,6.0,6.0,0,0,5,4,4,0,0,4,2,0.8,2,0
4578,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0,2012,2012,True,,5,11.0,0,67,2,1/12,33.5,6.09,33.0,0,0,6,1,1,0,0,1,1,0.166,1,0
4864,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,2011,2021,True,,49,147.1,0,1192,38,2/10,31.36,8.09,23.2,0,0,49,28,28,0,0,28,3,0.571,3,0
5236,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0,2011,2012,True,,,,,,,,,,,,,9,2,2,0,0,2,1,0.222,1,0
5334,92,90,7,2091,88,25.19,1631,128.2,0,15,8,214,78,2010,2022,False,,5,7.1,0,67,1,1/11,67.0,9.34,43.0,0,0,92,28,28,0,0,28,2,0.304,2,0
5390,80,80,4,2069,109,27.22,1495,138.39,2,11,7,239,92,2008,2013,False,,1,0.1,0,0,1,1/0,0.0,0.0,1.0,0,0,80,67,51,16,51,0,4,0.837,4,0
5472,2,,,,nan,,,,,,,,,2008,2008,True,,2,8.0,0,91,1,1/50,91.0,11.37,48.0,0,0,2,3,3,0,0,3,2,1.5,2,0
5560,1,1,0,18,18,18.0,11,163.63,0,0,0,2,1,2011,2011,True,,,,,,,,,,,,,1,0,0,0,0,0,0,0.0,0,0
5583,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,2012,2012,True,,2,3.0,0,26,0,,,8.66,,0,0,4,2,2,0,0,2,1,0.5,1,0
5605,3,2,2,9,6,,14,64.28,0,0,0,0,0,2009,2009,False,,3,10.0,0,73,3,2/25,24.33,7.3,20.0,0,0,3,2,2,0,0,2,2,0.666,2,0
5616,32,32,2,1107,93,36.9,805,137.51,0,8,1,121,44,2008,2010,True,,,,,,,,,,,,,32,11,11,0,0,11,2,0.343,2,0
5674,66,63,21,1400,73,33.33,1118,125.22,0,6,3,122,43,2008,2014,True,,20,39.0,0,303,17,4/13,17.82,7.76,13.7,1,0,66,22,22,0,0,22,2,0.333,2,0
5681,21,6,3,22,13,7.33,22,100.0,0,0,0,1,0,2012,2016,True,,21,76.2,1,570,23,4/29,24.78,7.46,19.9,1,0,21,4,4,0,0,4,1,0.19,1,0
5702,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,2008,2011,True,,20,60.0,0,548,14,2/2,39.14,9.13,25.7,0,0,20,6,6,0,0,6,2,0.3,2,0
5766,64,61,12,1322,71,26.97,1075,122.97,0,5,4,90,60,2008,2014,True,,26,52.5,0,474,8,2/2,59.25,8.97,39.6,0,0,64,25,25,0,0,25,3,0.39,3,0
5779,37,21,9,117,17,9.75,112,104.46,0,0,2,6,3,2009,2013,True,,37,138.4,3,1047,45,4/34,23.26,7.55,18.4,1,0,37,20,20,0,0,20,2,0.54,2,0
5939,59,58,7,1977,116,38.76,1612,122.64,1,15,1,198,52,2008,2015,False,,,,,,,,,,,,,59,26,26,0,0,26,2,0.44,2,0
