venue_id,total_matches_venue,matches_won_venue,matches_lost_venue,matches_tied_venue,matches_no_result_venue,win/loss_ratio_venue,average_runs_venue,runs_per_over_venue,total_team_innings,highest_score_venue,lowest_score_venue,start_year,last_year,span,total_runs_venue,highest_score_inning_venue,batting_average_venue,total_hundreds_venue,total_wickets_venue,best_bowling_innings_venue,bowling_average_venue,five_wicket_venue,total_catches_venue,total_stumpings_venue,ave_Diff_venue,out
57851,45,44,44,1,0,1.0,28.73,8.94,90,243,89,2010,2025,,14811,129,27.42,7,497,5/10,30.67,2,363,16,-3.24,True
57897,100,95,95,1,4,1.0,27.98,8.82,197,287,82,2008,2025,,30668,175,26.5,14,1053,4/9,30.15,0,752,23,-3.64,False
57980,100,99,99,0,1,1.0,28.04,8.54,200,262,49,2008,2025,,30554,112,26.59,9,1044,5/19,30.24,1,709,32,-3.65,False
57991,61,61,61,0,0,1.0,28.83,8.49,122,257,67,2008,2023,,18929,120,27.47,7,634,5/21,30.65,2,429,21,-3.18,False
58008,91,89,89,2,0,1.0,25.92,8.05,182,246,70,2008,2025,,27057,127,24.55,7,1010,5/5,27.77,4,738,43,-3.22,True
58027,7,7,7,0,0,1.0,28.83,8.26,14,231,,2010,2014,,2195,90,27.78,0,69,3/19,32.42,0,42,1,-4.63,True
58040,97,94,94,2,1,1.0,27.83,8.6,193,278,66,2008,2025,,30230,128,26.49,9,1029,5/13,30.33,3,697,38,-3.83,False
58056,14,14,14,0,0,1.0,28.18,8.88,28,241,116,2010,2025,,4594,106,26.7,1,167,4/9,28.35,0,115,4,-1.64,True
58142,83,81,81,1,1,1.0,27.39,8.33,165,286,80,2008,2025,,25161,141,26.15,11,870,6/12,29.82,5,620,19,-3.66,True
58150,9,9,9,0,0,1.0,31.21,9.12,18,245,88,2011,2018,,2735,104,29.72,1,84,4/13,33.61,0,56,0,-3.89,False
58162,64,64,64,0,0,1.0,29.5,8.33,128,219,59,2008,2025,,19306,113,27.97,5,625,6/14,31.95,3,427,23,-3.97,False
58204,4,4,4,0,0,1.0,26.48,8.74,8,197,154,2016,2017,,1236,96,25.22,0,43,4/8,29.62,0,27,0,-4.40,True
58230,5,5,5,0,0,1.0,21.98,7.32,10,162,74,2011,2011,,1286,80,20.74,0,55,5/12,24.29,1,34,1,-3.54,True
58317,27,27,27,0,0,1.0,28.19,8.94,54,217,68,2010,2022,,8760,104,26.54,4,305,5/40,29.87,1,210,7,-3.33,False
58324,125,124,124,1,0,1.0,27.4,8.58,250,235,67,2008,2025,,39139,133,25.97,16,1406,5/18,28.87,4,998,37,-2.90,False
58547,17,17,17,0,0,1.0,23.95,8.23,34,272,92,2012,2025,,5038,91,22.79,0,209,6/19,24.86,3,148,5,-2.06,True
